havingIP,tinyURL,redirection,count_at,count_www,no_of_dir,count_https,count_http,count_per,count_hyphen,count_equal,url_length,hostname_length,digit_count,letter_count,dns,domainAge,domainEnd,iframe,mouseOver,rightClick,forwarding,type
0,0,0,0,0,0,0,0,0,0,0,32,0,0,31,1,1,1,1,1,1,1,phishing
0,0,0,0,0,2,0,1,0,0,0,38,13,2,29,1,1,1,0,0,1,0,phishing
0,0,0,0,0,5,0,1,0,11,0,117,6,9,88,1,1,1,0,0,1,0,malware
0,1,0,0,0,0,0,0,0,1,0,16,0,0,14,1,1,1,1,1,1,1,phishing
0,0,0,0,1,2,0,1,0,6,0,55,11,0,41,1,1,1,1,1,1,1,defacement
0,0,0,0,0,5,0,1,0,0,0,75,14,18,46,1,1,1,1,1,1,1,malware
0,0,0,0,1,4,0,1,0,1,0,66,16,19,36,1,1,1,0,0,1,0,malware
0,0,0,0,0,0,0,0,0,0,0,26,0,0,25,1,1,1,1,1,1,1,phishing
0,0,0,0,0,2,0,1,21,0,0,81,9,26,28,1,1,1,0,0,1,0,malware
0,0,0,0,0,5,0,1,0,1,0,56,11,0,46,1,1,1,1,1,1,1,phishing
0,0,0,0,0,3,0,1,0,9,0,88,7,5,67,1,1,1,0,0,1,0,benign
0,0,0,0,1,1,0,1,0,0,4,89,23,5,67,1,1,1,0,0,1,0,defacement
0,0,0,0,1,2,0,1,0,0,3,67,13,3,51,1,1,1,0,0,1,0,malware
0,0,0,0,0,1,0,1,0,0,3,68,18,1,55,1,1,1,1,1,1,1,defacement
0,0,0,0,0,3,0,0,0,0,0,50,0,0,44,1,1,1,1,1,1,1,benign
0,0,0,0,0,5,0,1,0,7,0,86,6,9,61,1,1,1,0,0,1,0,malware
0,0,0,0,0,2,0,0,1,0,0,99,0,8,76,1,1,1,1,1,1,1,benign
0,0,0,0,0,2,0,1,0,0,0,40,13,3,30,1,1,1,0,0,1,0,phishing
0,0,0,0,0,1,0,0,0,0,0,34,0,0,31,1,1,1,1,1,1,1,benign
0,0,0,0,1,5,0,1,0,0,0,65,17,6,46,1,1,1,1,1,1,1,malware
0,0,0,0,0,1,0,0,0,0,0,32,0,0,28,1,1,1,1,1,1,1,benign
0,0,0,0,1,2,0,1,0,0,3,68,14,6,49,1,1,1,0,0,1,0,malware
0,0,0,0,0,2,0,0,0,0,0,39,0,10,25,1,1,1,1,1,1,1,benign
0,0,0,0,1,3,0,1,0,0,0,46,19,4,33,1,1,1,0,0,1,0,defacement
0,0,0,0,1,5,0,0,0,1,0,65,0,0,55,1,1,1,1,1,1,1,malware
0,0,0,0,1,1,0,1,1,0,4,284,42,35,232,1,1,1,1,1,1,1,defacement
0,0,0,0,0,0,0,0,0,0,0,41,0,3,34,1,1,1,1,1,1,1,phishing
0,0,0,0,0,2,0,1,27,0,0,99,9,33,33,1,1,1,0,0,1,0,malware
0,0,0,0,0,0,0,0,0,1,0,35,0,9,24,1,1,1,1,1,1,1,phishing
0,0,0,0,0,0,0,0,0,0,0,42,0,5,34,1,1,1,1,1,1,1,phishing
0,0,0,0,0,0,0,0,0,0,0,11,0,0,9,1,1,1,1,1,1,1,phishing
0,0,0,0,1,3,0,1,0,5,0,70,14,3,53,1,1,1,0,0,1,0,defacement
0,0,0,0,1,1,0,1,0,0,6,119,34,10,87,1,1,1,0,0,1,0,defacement
0,0,0,0,0,3,0,1,0,8,0,92,11,0,77,1,1,1,0,0,1,0,malware
0,0,0,0,0,3,0,1,0,0,0,53,23,0,44,1,1,1,1,1,1,1,phishing
0,0,0,0,0,4,0,1,0,0,2,77,21,8,53,1,1,1,1,1,1,1,malware
0,0,0,0,1,2,0,1,0,9,0,93,23,0,77,1,1,1,0,0,1,0,malware
0,0,0,0,0,2,0,1,0,1,0,66,16,19,38,1,1,1,1,1,1,1,phishing
0,0,0,0,0,3,0,0,0,3,0,43,0,0,35,1,1,1,1,1,1,1,benign
0,0,0,0,1,2,0,1,0,1,2,96,20,2,70,1,1,1,0,0,1,0,phishing
0,0,0,0,0,2,0,0,0,1,0,34,0,0,30,1,1,1,1,1,1,1,benign
0,0,0,0,0,0,0,0,0,0,0,13,0,0,12,1,1,1,1,1,1,1,phishing
0,0,0,0,0,4,0,0,0,12,0,117,0,8,91,1,1,1,1,1,1,1,benign
0,0,0,0,1,2,0,1,0,0,4,95,15,5,75,1,1,1,0,0,1,0,malware
0,0,0,0,0,2,0,1,21,0,0,81,9,22,32,1,1,1,0,0,1,0,malware
0,0,0,0,0,1,0,0,0,0,0,16,0,0,12,1,1,1,1,1,1,1,benign
0,0,0,0,1,2,0,1,0,0,7,120,16,7,86,1,1,1,0,0,1,0,malware
0,0,0,0,0,1,0,0,0,0,2,55,0,9,36,1,1,1,1,1,1,1,benign
0,0,0,0,0,1,0,0,0,0,0,15,0,0,13,1,1,1,1,1,1,1,benign
0,0,0,0,1,2,0,1,0,0,0,41,17,0,33,1,1,1,1,1,1,1,defacement
0,0,0,0,1,3,0,1,0,0,0,54,20,0,43,1,1,1,1,1,1,1,defacement
0,0,0,0,1,1,0,1,0,1,3,74,13,2,57,1,1,1,1,1,1,1,defacement
0,0,0,0,0,0,0,0,0,0,0,23,0,0,22,1,1,1,1,1,1,1,phishing
0,0,0,0,0,2,0,0,0,1,0,30,0,0,26,1,1,1,1,1,1,1,benign
0,0,0,0,0,5,0,1,0,8,0,82,6,11,54,1,1,1,0,0,1,0,malware
0,0,0,0,1,1,0,1,0,2,4,107,14,6,82,1,1,1,0,0,1,0,defacement
0,0,0,0,0,2,0,0,0,0,1,44,0,4,35,1,1,1,1,1,1,1,benign
